"agno","mes","dia","valor","sitio"
1994,10,1,4.9,"Pudahuel Santiago"
1994,11,1,0,"Pudahuel Santiago"
1994,12,1,6.6,"Pudahuel Santiago"
1995,1,1,0,"Pudahuel Santiago"
1995,2,1,0,"Pudahuel Santiago"
1995,3,1,0,"Pudahuel Santiago"
1995,4,1,16.3,"Pudahuel Santiago"
1995,5,1,5.3,"Pudahuel Santiago"
1995,6,1,40.2,"Pudahuel Santiago"
1995,7,1,60.1,"Pudahuel Santiago"
1995,8,1,21.6,"Pudahuel Santiago"
1995,9,1,16,"Pudahuel Santiago"
1995,10,1,0.6,"Pudahuel Santiago"
1995,11,1,0,"Pudahuel Santiago"
1995,12,1,0,"Pudahuel Santiago"
1996,1,1,1,"Pudahuel Santiago"
1996,2,1,0,"Pudahuel Santiago"
1996,3,1,0,"Pudahuel Santiago"
1996,4,1,40.6,"Pudahuel Santiago"
1996,5,1,11.2,"Pudahuel Santiago"
1996,6,1,31.4,"Pudahuel Santiago"
1996,7,1,22.4,"Pudahuel Santiago"
1996,8,1,17.8,"Pudahuel Santiago"
1996,9,1,1,"Pudahuel Santiago"
1996,10,1,4.6,"Pudahuel Santiago"
1996,11,1,0,"Pudahuel Santiago"
1996,12,1,4.8,"Pudahuel Santiago"
1997,1,1,0,"Pudahuel Santiago"
1997,2,1,0,"Pudahuel Santiago"
1997,3,1,10,"Pudahuel Santiago"
1997,4,1,0.1,"Pudahuel Santiago"
1997,5,1,107.8,"Pudahuel Santiago"
1997,6,1,227.5,"Pudahuel Santiago"
1997,7,1,38.9,"Pudahuel Santiago"
1997,8,1,84.9,"Pudahuel Santiago"
1997,9,1,59.3,"Pudahuel Santiago"
1997,10,1,50.4,"Pudahuel Santiago"
1997,11,1,5,"Pudahuel Santiago"
1997,12,1,6.4,"Pudahuel Santiago"
1998,1,1,0,"Pudahuel Santiago"
1998,2,1,7,"Pudahuel Santiago"
1998,3,1,0,"Pudahuel Santiago"
1998,4,1,20.4,"Pudahuel Santiago"
1998,5,1,16.7,"Pudahuel Santiago"
1998,6,1,16.9,"Pudahuel Santiago"
1998,7,1,0.5,"Pudahuel Santiago"
1998,8,1,0.4,"Pudahuel Santiago"
1998,9,1,9.7,"Pudahuel Santiago"
1998,10,1,0,"Pudahuel Santiago"
1998,11,1,0,"Pudahuel Santiago"
1998,12,1,0,"Pudahuel Santiago"
1999,1,1,0,"Pudahuel Santiago"
1999,2,1,0,"Pudahuel Santiago"
1999,3,1,17,"Pudahuel Santiago"
1999,4,1,9,"Pudahuel Santiago"
1999,5,1,1.1,"Pudahuel Santiago"
1999,6,1,35,"Pudahuel Santiago"
1999,7,1,24.6,"Pudahuel Santiago"
1999,8,1,105.3,"Pudahuel Santiago"
1999,9,1,89.8,"Pudahuel Santiago"
1999,10,1,16.3,"Pudahuel Santiago"
1999,11,1,0,"Pudahuel Santiago"
1999,12,1,0.2,"Pudahuel Santiago"
2000,1,1,0,"Pudahuel Santiago"
2000,2,1,5.6,"Pudahuel Santiago"
2000,3,1,0,"Pudahuel Santiago"
2000,4,1,17.2,"Pudahuel Santiago"
2000,5,1,19.4,"Pudahuel Santiago"
2000,6,1,201.8,"Pudahuel Santiago"
2000,7,1,17.4,"Pudahuel Santiago"
2000,8,1,0.2,"Pudahuel Santiago"
2000,9,1,104.2,"Pudahuel Santiago"
2000,10,1,8,"Pudahuel Santiago"
2000,11,1,2.8,"Pudahuel Santiago"
2000,12,1,0,"Pudahuel Santiago"
2001,1,1,0,"Pudahuel Santiago"
2001,2,1,0,"Pudahuel Santiago"
2001,3,1,4.7,"Pudahuel Santiago"
2001,4,1,11.1,"Pudahuel Santiago"
2001,5,1,33.6,"Pudahuel Santiago"
2001,6,1,0.6,"Pudahuel Santiago"
2001,7,1,178.4,"Pudahuel Santiago"
2001,8,1,41.3,"Pudahuel Santiago"
2001,9,1,14.1,"Pudahuel Santiago"
2001,10,1,1.2,"Pudahuel Santiago"
2001,11,1,0,"Pudahuel Santiago"
2001,12,1,0,"Pudahuel Santiago"
2002,1,1,0,"Pudahuel Santiago"
2002,2,1,0,"Pudahuel Santiago"
2002,3,1,1.5,"Pudahuel Santiago"
2002,4,1,3.9,"Pudahuel Santiago"
2002,5,1,122.7,"Pudahuel Santiago"
2002,6,1,219.7,"Pudahuel Santiago"
2002,7,1,76.9,"Pudahuel Santiago"
2002,8,1,48.4,"Pudahuel Santiago"
2002,9,1,12.4,"Pudahuel Santiago"
2002,10,1,3.2,"Pudahuel Santiago"
2002,11,1,0,"Pudahuel Santiago"
2002,12,1,2.7,"Pudahuel Santiago"
2003,1,1,3.1,"Pudahuel Santiago"
2003,2,1,0,"Pudahuel Santiago"
2003,3,1,0.2,"Pudahuel Santiago"
2003,4,1,0,"Pudahuel Santiago"
2003,5,1,53,"Pudahuel Santiago"
2003,6,1,26.8,"Pudahuel Santiago"
2003,7,1,49.6,"Pudahuel Santiago"
2003,8,1,3.8,"Pudahuel Santiago"
2003,9,1,6.7,"Pudahuel Santiago"
2003,10,1,0.2,"Pudahuel Santiago"
2003,11,1,10.2,"Pudahuel Santiago"
2003,12,1,0,"Pudahuel Santiago"
2004,1,1,0,"Pudahuel Santiago"
2004,2,1,0.1,"Pudahuel Santiago"
2004,3,1,17.9,"Pudahuel Santiago"
2004,4,1,25.8,"Pudahuel Santiago"
2004,5,1,13.5,"Pudahuel Santiago"
2004,6,1,36.1,"Pudahuel Santiago"
2004,7,1,73.4,"Pudahuel Santiago"
2004,8,1,54.2,"Pudahuel Santiago"
2004,9,1,11.7,"Pudahuel Santiago"
2004,10,1,0.1,"Pudahuel Santiago"
2004,11,1,45.7,"Pudahuel Santiago"
2004,12,1,0,"Pudahuel Santiago"
2005,1,1,0,"Pudahuel Santiago"
2005,2,1,0.1,"Pudahuel Santiago"
2005,3,1,19.3,"Pudahuel Santiago"
2005,4,1,5.5,"Pudahuel Santiago"
2005,5,1,34.1,"Pudahuel Santiago"
2005,6,1,130.6,"Pudahuel Santiago"
2005,7,1,18.7,"Pudahuel Santiago"
2005,8,1,82.6,"Pudahuel Santiago"
2005,9,1,9.9,"Pudahuel Santiago"
2005,10,1,8.3,"Pudahuel Santiago"
2005,11,1,14.2,"Pudahuel Santiago"
2005,12,1,0,"Pudahuel Santiago"
2006,1,1,0,"Pudahuel Santiago"
2006,2,1,0,"Pudahuel Santiago"
2006,3,1,0,"Pudahuel Santiago"
2006,4,1,0.6,"Pudahuel Santiago"
2006,5,1,13.4,"Pudahuel Santiago"
2006,6,1,65,"Pudahuel Santiago"
2006,7,1,108.3,"Pudahuel Santiago"
2006,8,1,34.8,"Pudahuel Santiago"
2006,9,1,1,"Pudahuel Santiago"
2006,10,1,52.6,"Pudahuel Santiago"
2006,11,1,0.2,"Pudahuel Santiago"
2006,12,1,0,"Pudahuel Santiago"
2007,1,1,0,"Pudahuel Santiago"
2007,2,1,9.6,"Pudahuel Santiago"
2007,3,1,1.6,"Pudahuel Santiago"
2007,4,1,0,"Pudahuel Santiago"
